Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1.090000000000001,-57.40904499993591,16.37421328205104,181.9196367310064
2.491854849921302,-74.75760352562047,31.58412815064284,-56.89513852867039
5.696642745941557,-57.26820245646805,20.31350981823928,-59.48841756779855
13.02312555481052,-63.04349773037848,24.422617011237,-1.142618797624074
29.77223722466843,-53.72955482833311,15.25835960435721,-11.49635513771261
68.06247130394256,-54.56618737294032,14.12626878347937,88.66993524906809
155.5979809324389,-60.324422567236,21.12431285567209,46.25034512226556
355.713379288495,-51.43175630235505,11.7315619476545,67.63304039817709
813.1982654696615,-77.39114750583707,39.30951294843862,51.31287793145081
1859.056919044186,-53.49766689854653,13.81873879316078,9.013148897281049
4250,-40.08156333374262,-3.553773326513755,80.99059304498928
