Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
10.00000000000001,-0.3145660133976683,1.541502931936792,-9.350428965671171
10.35142166679345,-0.3363592185560592,1.602475764710619,-9.796485647329453
10.71519305237607,-0.3633618043052954,1.66614973824458,-10.25017258151628
11.09174815262402,-0.3962623004575113,1.73426276151413,-10.70293139229037
11.48153621496884,-0.4371761662078826,1.807490774027747,-11.15683918044808
11.8850222743702,-0.4878510822068233,1.886911964094334,-11.61685927328909
12.30268770812382,-0.5554239136185717,1.974070895038974,-12.08849958162466
12.73503081016663,-0.6460670969150578,2.070155281680741,-12.58298333598799
13.18256738556409,-0.763207471274636,2.175888922895991,-13.10923453706292
13.64583136588927,-0.9149374531574939,2.294060352069825,-13.66703136242978
14.12537544622755,-1.108046545476829,2.427400581736807,-14.26519998516487
14.6217717445672,-1.355188355469012,2.57960919740388,-14.93811402419604
15.1356124843621,-1.658428462094427,2.751564889622601,-15.70848085361763
15.6675107010815,-2.020124359708296,2.945981248498238,-16.61103836719408
16.21810097358932,-2.435701836582432,3.162151482556808,-17.66014002473545
16.78804018122561,-2.900712069530154,3.402114082261591,-18.87890769411671
17.37800828749376,-3.40870425043179,3.665629743303578,-20.28208239646688
17.98870915128789,-3.95772023654135,3.954531908224814,-21.90653939557981
18.62087136662869,-4.545279040245005,4.270314171896747,-23.78581565086326
19.27524913190937,-5.169895701103872,4.612547698625716,-25.96536481316517
19.95262314968881,-5.829874882776869,4.982855962076082,-28.50741729936892
20.65380155810531,-6.522860598945693,5.379311500070523,-31.48541389105394
21.37962089502235,-7.244301862779706,5.798228419083657,-34.99988682744812
22.13094709605638,-7.985755666556664,6.231893274969369,-39.15819356192885
22.90867652767774,-8.733349313053267,6.666537426225557,-44.09261921938747
23.71373705661658,-9.462512561396867,7.078197985033531,-49.93737448785657
24.54708915685034,-10.1372730060563,7.431393709796598,-56.80199272324643
25.40972705549306,-10.70803729720284,7.675866991150853,-64.70856303837924
26.30267991895384,-11.11520184344169,7.752948543451414,-73.54399206985133
27.22701308077915,-11.30564165382342,7.608695420433705,-82.9902067561662
28.18382931264458,-11.25393809034708,7.217211105991924,-92.56083620870288
29.17427014001169,-10.96756856716315,6.586349488006451,-101.7404285987075
30.19951720402019,-10.49196453311578,5.761587010821212,-110.1111881581093
31.26079367123959,-9.884302417729497,4.798950652542261,-117.4679926560275
32.35936569296288,-9.200322863503144,3.754350633699883,-123.7907174564029
